tip,sex,smoker,day,time,size
1.01,Female,No,Sun,Dinner,2
1.66,Male,No,Sun,Dinner,3
3.5,Male,No,Sun,Dinner,3
3.31,Male,No,Sun,Dinner,2
3.61,Female,No,Sun,Dinner,4
4.71,Male,No,Sun,Dinner,4
2.0,Male,No,Sun,Dinner,2
3.12,Male,No,Sun,Dinner,4
1.96,Male,No,Sun,Dinner,2
3.23,Male,No,Sun,Dinner,2
1.71,Male,No,Sun,Dinner,2
5.0,Female,No,Sun,Dinner,4
1.57,Male,No,Sun,Dinner,2
3.0,Male,No,Sun,Dinner,4
3.02,Female,No,Sun,Dinner,2
3.92,Male,No,Sun,Dinner,2
1.67,Female,No,Sun,Dinner,3
3.71,Male,No,Sun,Dinner,3
3.5,Female,No,Sun,Dinner,3
3.35,Male,No,Sat,Dinner,3
4.08,Male,No,Sat,Dinner,2
2.75,Female,No,Sat,Dinner,2
2.23,Female,No,Sat,Dinner,2
7.58,Male,No,Sat,Dinner,4
3.18,Male,No,Sat,Dinner,2
2.34,Male,No,Sat,Dinner,4
2.0,Male,No,Sat,Dinner,2
2.0,Male,No,Sat,Dinner,2
4.3,Male,No,Sat,Dinner,2
3.0,Female,No,Sat,Dinner,2
1.45,Male,No,Sat,Dinner,2
2.5,Male,No,Sat,Dinner,4
3.0,Female,No,Sat,Dinner,2
2.45,Female,No,Sat,Dinner,4
3.27,Male,No,Sat,Dinner,2
3.6,Male,No,Sat,Dinner,3
2.0,Male,No,Sat,Dinner,3
3.07,Female,No,Sat,Dinner,3
2.31,Male,No,Sat,Dinner,3
5.0,Male,No,Sat,Dinner,3
2.24,Male,No,Sat,Dinner,3
2.54,Male,No,Sun,Dinner,2
3.06,Male,No,Sun,Dinner,2
1.32,Male,No,Sun,Dinner,2
5.6,Male,No,Sun,Dinner,4
3.0,Male,No,Sun,Dinner,2
5.0,Male,No,Sun,Dinner,2
6.0,Male,No,Sun,Dinner,4
2.05,Male,No,Sun,Dinner,3
3.0,Male,No,Sun,Dinner,2
2.5,Male,No,Sun,Dinner,2
2.6,Female,No,Sun,Dinner,2
5.2,Female,No,Sun,Dinner,4
1.56,Male,No,Sun,Dinner,2
4.34,Male,No,Sun,Dinner,4
3.51,Male,No,Sun,Dinner,2
3.0,Male,Yes,Sat,Dinner,4
1.5,Female,No,Sat,Dinner,2
1.76,Male,Yes,Sat,Dinner,2
6.73,Male,No,Sat,Dinner,4
3.21,Male,Yes,Sat,Dinner,2
2.0,Male,Yes,Sat,Dinner,2
1.98,Male,Yes,Sat,Dinner,2
3.76,Male,Yes,Sat,Dinner,4
2.64,Male,No,Sat,Dinner,3
3.15,Male,No,Sat,Dinner,3
2.47,Female,No,Sat,Dinner,2
1.0,Female,Yes,Sat,Dinner,1
2.01,Male,No,Sat,Dinner,2
2.09,Male,Yes,Sat,Dinner,2
1.97,Male,No,Sat,Dinner,2
3.0,Female,No,Sat,Dinner,3
3.14,Female,Yes,Sat,Dinner,2
5.0,Female,Yes,Sat,Dinner,2
2.2,Female,No,Sat,Dinner,2
1.25,Male,No,Sat,Dinner,2
3.08,Male,Yes,Sat,Dinner,2
4.0,Male,No,Thur,Lunch,4
3.0,Male,No,Thur,Lunch,2
2.71,Male,No,Thur,Lunch,2
3.0,Male,Yes,Thur,Lunch,2
3.4,Male,No,Thur,Lunch,2
1.83,Female,No,Thur,Lunch,1
5.0,Male,Yes,Thur,Lunch,2
2.03,Male,No,Thur,Lunch,2
5.17,Female,No,Thur,Lunch,4
2.0,Male,No,Thur,Lunch,2
4.0,Male,No,Thur,Lunch,2
5.85,Male,No,Thur,Lunch,2
3.0,Male,No,Thur,Lunch,2
3.0,Male,Yes,Fri,Dinner,2
3.5,Male,No,Fri,Dinner,2
1.0,Female,Yes,Fri,Dinner,2
4.3,Female,Yes,Fri,Dinner,2
3.25,Female,No,Fri,Dinner,2
4.73,Male,Yes,Fri,Dinner,4
4.0,Male,Yes,Fri,Dinner,2
1.5,Male,Yes,Fri,Dinner,2
3.0,Male,Yes,Fri,Dinner,2
