단지명,업체명,업체전화번호,종업원수,생산품,공장대표주소(도로명),공장대표주소(지번),업종명,관리기관,관리기관전화번호,데이터기준일자
원주태장농공단지, (주)이지메디텍,033-745-4677,2,렌즈소독기,"강원도 원주시 태장공단길 42-10, 1동 201호 (태장동, 원주의료기기센터)",강원도 원주시 태장동  1720-26번지,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(재)강원테크노파크,,1, ,강원도 원주시 문막읍 동화공단로 130-2,강원도 원주시 문막읍 동화리 1642-5번지,비주거용 건물 임대업,강원도 원주시청,033-737-2982,2019-11-11
원주문막농공단지,(주)가온,033-732-0656,4,금속제울타리,강원도 원주시 문막읍 문막공단길 71,강원도 원주시 문막읍 반계리 2184번지,기타 가공 공작기계 제조업 외 2 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)가포넷,033-747-8267,35,"사지압박순환장치,전기마사지기","강원도 원주시 태장공단길 42-10, 1동 114, 125호 (태장동, 원주의료기기센터)",강원도 원주시 태장동  1720-26번지,그 외 기타 의료용 기기 제조업 외 1 종,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)갈렙,033-748-0433,6,의료용 세정기,"강원도 원주시 태장공단길 42-10, 원주의료기기산업기술단지 3동 202호 (태장동)",강원도 원주시 태장동 1720-26번지 원주의료기기산업기술단지 3동 202호,그 외 기타 의료용 기기 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주태장농공단지,(주)경원이엔지,033-744-4240,2,"배전반, 정수장비, 수위조절기, 지하수보호공, 비계용지주, 물탱크","강원도 원주시 태장공단길 42-1, 205호 (태장동)",강원도 원주시 태장동 1720-22번지 205호,배전반 및 전기 자동제어반 제조업 외 6 종,강원도 원주시청,033-737-2982,2019-11-11
원주문막지방산업단지,(주)광덕에이앤티,033-731-0280,145,조향장치용 플라스틱 부품,강원도 원주시 문막읍 문막공단길 176,강원도 원주시 문막읍 반계리 2234번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시청,033-737-2982,2019-11-11
원주문막농공단지,(주)광영,033-764-4414,4,"보안용카메라,영상감시장치,교통신호장치",강원도 원주시 문막읍 문막공단길 71,강원도 원주시 문막읍 반계리 2184번지,방송장비 제조업 외 1 종,강원도 원주시청,033-737-2982,2019-11-11
원주문막농공단지,(주)굿21하우징,033-762-9494,2,천정재 마루,강원도 원주시 문막읍 문막공단길 220,강원도 원주시 문막읍 반계리 5-28번지,표면 가공 목재 및 특정 목적용 제재목 제조업,강원도 원주시청,033-737-2982,2019-11-11
원주동화농공단지,(주)굿플,1644-5866,71,"저주파자극기, 의료용진동기, 레이저조사기",강원도 원주시 문막읍 동화공단로 107,강원도 원주시 문막읍 동화리 1660-2번지,그 외 기타 의료용 기기 제조업 외 1 종,강원도 원주시청,033-737-2982,2019-11-11
