전표번호,발주일자,봉투 종류,협회코드,제작업체,수량,조달수수료,조달단가,금액,미입고수량,수정구분,수정일자,LOT발생구분,전송구분,데이터기준일자
A00000001,2000-12-13,일반용 5L,1,영광산업,20000,0.8,13.35,267000,0,M,2001-01-11,1,1,2020-09-15
A00000001,2000-12-13,일반용 5L,1,영광산업,20000,0.8,13.35,267000,0,M,2001-01-11,1,1,2020-09-15
A00000002,2000-12-13,일반용 10L,1,영광산업,100000,0.8,17.05,1705000,0,M,2001-01-11,1,1,2020-09-15
A00000002,2000-12-13,일반용 10L,1,영광산업,100000,0.8,17.05,1705000,0,M,2001-01-11,1,1,2020-09-15
A00000004,2000-12-13,일반용 20L,1,영광산업,300000,0.8,26.97,8091000,0,M,2001-01-11,1,1,2020-09-15
A00000004,2000-12-13,일반용 20L,1,영광산업,300000,0.8,26.97,8091000,0,M,2001-01-11,1,1,2020-09-15
A00000007,2000-12-13,일반용 50L,1,영광산업,150000,0.8,59.88,8982000,0,M,2001-01-11,1,1,2020-09-15
A00000007,2000-12-13,일반용 50L,1,영광산업,150000,0.8,59.88,8982000,0,M,2001-01-11,1,1,2020-09-15
A00000011,2000-12-13,일반용 100L,1,영광산업,60000,0.8,108.58,6514800,0,M,2001-01-11,1,1,2020-09-15
A00000011,2000-12-13,일반용 100L,1,영광산업,60000,0.8,108.58,6514800,0,M,2001-01-11,1,1,2020-09-15
A00000016,2000-12-13,사업장용 50L,1,영광산업,20000,0.8,59.88,1197600,0,M,2001-01-11,1,1,2020-09-15
A00000016,2000-12-13,사업장생활계용(특수용) 50L,1,영광산업,20000,0.8,59.88,1197600,0,M,2001-01-11,1,1,2020-09-15
A00000022,2000-12-13,사업장용 100L,1,영광산업,20000,0.8,108.58,2171600,0,M,2001-01-11,1,1,2020-09-15
A00000022,2000-12-13,사업장생활계용(특수용) 100L,1,영광산업,20000,0.8,108.58,2171600,0,M,2001-01-11,1,1,2020-09-15
A00000024,2001-04-27,일반용 10L,1,(주)제임스케미칼,200000,0.8,18.3,3660000,0,M,2001-05-28,1,1,2020-09-15
A00000024,2001-04-27,일반용 10L,1,(주)제임스케미칼,200000,0.8,18.3,3660000,0,M,2001-05-28,1,1,2020-09-15
A00000025,2001-04-27,일반용 20L,1,(주)제임스케미칼,300000,0.8,29.1,8730000,0,M,2001-05-28,1,1,2020-09-15
A00000025,2001-04-27,일반용 20L,1,(주)제임스케미칼,300000,0.8,29.1,8730000,0,M,2001-05-28,1,1,2020-09-15
A00000027,2001-05-15,사업장용 100L,1,(주)제임스케미칼,80000,0.8,117.3,9384000,0,M,2001-06-08,1,1,2020-09-15
A00000027,2001-05-15,사업장생활계용(특수용) 100L,1,(주)제임스케미칼,80000,0.8,117.3,9384000,0,M,2001-06-08,1,1,2020-09-15
A00000028,2001-05-30,일반용 50L,1,(주)제임스케미칼,200100,0.8,62.9,12586290,0,M,2001-10-24,1,1,2020-09-15
A00000028,2001-05-30,일반용 50L,1,(주)제임스케미칼,200100,0.8,62.9,12586290,0,M,2001-10-24,1,1,2020-09-15
A00000029,2001-05-30,일반용 100L,1,(주)제임스케미칼,150000,0.8,117.3,17595000,0,M,2001-06-21,1,1,2020-09-15
A00000029,2001-05-30,일반용 100L,1,(주)제임스케미칼,150000,0.8,117.3,17595000,0,M,2001-06-21,1,1,2020-09-15
A00000030,2001-07-27,일반용 5L,1,(주)제임스케미칼,20000,0.8,13.4,268000,20000,D,2001-07-27,1,1,2020-09-15
A00000030,2001-07-27,일반용 5L,1,(주)제임스케미칼,20000,0.8,13.4,268000,20000,D,2001-07-27,1,1,2020-09-15
A00000031,2001-10-05,일반용 10L,1,(주)제임스케미칼,300000,0.8,18.3,5490000,0,M,2001-11-16,1,1,2020-09-15
A00000031,2001-10-05,일반용 10L,1,(주)제임스케미칼,300000,0.8,18.3,5490000,0,M,2001-11-16,1,1,2020-09-15
A00000032,2001-10-05,일반용 20L,1,(주)제임스케미칼,500000,0.8,29.1,14550000,0,M,2002-01-10,1,1,2020-09-15
A00000032,2001-10-05,일반용 20L,1,(주)제임스케미칼,500000,0.8,29.1,14550000,0,M,2002-01-10,1,1,2020-09-15
A00000034,2001-10-05,일반용 5L,1,(주)제임스케미칼,50000,0.8,13.4,670000,0,M,2001-10-30,1,1,2020-09-15
A00000034,2001-10-05,일반용 5L,1,(주)제임스케미칼,50000,0.8,13.4,670000,0,M,2001-10-30,1,1,2020-09-15
A00000035,2001-12-05,일반용 5L,1,(주)제임스케미칼,50000,0.8,13.4,670000,0,M,2002-03-02,1,1,2020-09-15
A00000035,2001-12-05,일반용 5L,1,(주)제임스케미칼,50000,0.8,13.4,670000,0,M,2002-03-02,1,1,2020-09-15
A00000036,2001-12-05,일반용 10L,1,(주)제임스케미칼,300000,0.8,18.3,5490000,0,M,2003-01-15,1,1,2020-09-15
A00000036,2001-12-05,일반용 10L,1,(주)제임스케미칼,300000,0.8,18.3,5490000,0,M,2003-01-15,1,1,2020-09-15
A00000038,2001-12-05,일반용 20L,1,(주)제임스케미칼,500000,0.8,29.1,14550000,0,M,2002-10-31,1,1,2020-09-15
A00000038,2001-12-05,일반용 20L,1,(주)제임스케미칼,500000,0.8,29.1,14550000,0,M,2002-10-31,1,1,2020-09-15
A00000041,2001-12-05,일반용 50L,1,(주)제임스케미칼,300000,0.8,62.9,18870000,0,M,2002-10-04,1,1,2020-09-15
A00000041,2001-12-05,일반용 50L,1,(주)제임스케미칼,300000,0.8,62.9,18870000,0,M,2002-10-04,1,1,2020-09-15
A00000045,2001-12-05,일반용 100L,1,(주)제임스케미칼,100000,0.8,117.3,11730000,0,M,2002-11-18,1,1,2020-09-15
A00000045,2001-12-05,일반용 100L,1,(주)제임스케미칼,100000,0.8,117.3,11730000,0,M,2002-11-18,1,1,2020-09-15
A00000050,2001-12-05,사업장용 50L,1,(주)제임스케미칼,50000,0.8,62.9,3145000,0,M,2002-10-04,1,1,2020-09-15
A00000050,2001-12-05,사업장생활계용(특수용) 50L,1,(주)제임스케미칼,50000,0.8,62.9,3145000,0,M,2002-10-04,1,1,2020-09-15
A00000056,2001-12-05,사업장용 100L,1,(주)제임스케미칼,50000,0.8,117.3,5865000,0,M,2003-01-15,1,1,2020-09-15
A00000056,2001-12-05,사업장생활계용(특수용) 100L,1,(주)제임스케미칼,50000,0.8,117.3,5865000,0,M,2003-01-15,1,1,2020-09-15
A00000057,2001-12-17,일반용 10L,1,(주)제임스케미칼,200000,0.8,18.3,3660000,0,M,2003-01-15,1,1,2020-09-15
A00000057,2001-12-17,일반용 10L,1,(주)제임스케미칼,200000,0.8,18.3,3660000,0,M,2003-01-15,1,1,2020-09-15
A00000058,2001-12-17,일반용 20L,1,(주)제임스케미칼,300000,0.8,29.1,8730000,0,M,2003-01-15,1,1,2020-09-15
A00000058,2001-12-17,일반용 20L,1,(주)제임스케미칼,300000,0.8,29.1,8730000,0,M,2003-01-15,1,1,2020-09-15
A00000059,2002-08-09,스티커 1000원,3,아진인쇄공사,10000,0,184,1840000,0,M,2002-11-09,1,1,2020-09-15
A00000059,2002-08-09,대형폐기물스티커 1000원권,3,아진인쇄공사,10000,0,184,1840000,0,M,2002-11-09,1,1,2020-09-15
A00000060,2002-08-09,스티커 5000원,3,아진인쇄공사,10000,0,184,1840000,0,M,2002-11-09,1,1,2020-09-15
A00000060,2002-08-09,대형폐기물스티커 5000원권,3,아진인쇄공사,10000,0,184,1840000,0,M,2002-11-09,1,1,2020-09-15
A00000061,2002-11-11,일반용 5L,1,(주)제임스케미칼,20000,0,13.8,276000,0,M,2003-04-24,1,1,2020-09-15
A00000061,2002-11-11,일반용 5L,1,(주)제임스케미칼,20000,0,13.8,276000,0,M,2003-04-24,1,1,2020-09-15
A00000062,2002-11-11,일반용 10L,1,(주)제임스케미칼,110000,0,19.6,2156000,0,M,2003-08-19,1,1,2020-09-15
A00000062,2002-11-11,일반용 10L,1,(주)제임스케미칼,110000,0,19.6,2156000,0,M,2003-08-19,1,1,2020-09-15
A00000064,2002-11-11,일반용 20L,1,(주)제임스케미칼,320000,0,31.6,10112000,0,M,2003-09-22,1,1,2020-09-15
A00000064,2002-11-11,일반용 20L,1,(주)제임스케미칼,320000,0,31.6,10112000,0,M,2003-09-22,1,1,2020-09-15
A00000067,2002-11-11,일반용 50L,1,(주)제임스케미칼,300000,0,68.7,20610000,0,M,2005-03-09,1,1,2020-09-15
A00000067,2002-11-11,일반용 50L,1,(주)제임스케미칼,300000,0,68.7,20610000,0,M,2005-03-09,1,1,2020-09-15
A00000071,2002-11-11,일반용 100L,1,(주)제임스케미칼,100000,0,125.7,12570000,0,M,2004-07-06,1,1,2020-09-15
A00000071,2002-11-11,일반용 100L,1,(주)제임스케미칼,100000,0,125.7,12570000,0,M,2004-07-06,1,1,2020-09-15
A00000072,2003-01-08,일반용 20L,1,(주)제임스케미칼,300000,0.8,31.6,9480000,0,M,2003-09-16,1,1,2020-09-15
A00000072,2003-01-08,일반용 20L,1,(주)제임스케미칼,300000,0.8,31.6,9480000,0,M,2003-09-16,1,1,2020-09-15
A00000073,2003-01-08,일반용 100L,1,(주)제임스케미칼,150000,0.8,125.7,18855000,0,M,2004-12-29,1,1,2020-09-15
A00000073,2003-01-08,일반용 100L,1,(주)제임스케미칼,150000,0.8,125.7,18855000,0,M,2004-12-29,1,1,2020-09-15
A00000075,2003-01-08,일반용 50L,1,(주)제임스케미칼,300000,0.8,68.7,20610000,300,M,2005-03-31,1,1,2020-09-15
A00000075,2003-01-08,일반용 50L,1,(주)제임스케미칼,300000,0.8,68.7,20610000,300,M,2005-03-31,1,1,2020-09-15
A00000076,2003-01-09,일반용 5L,1,(주)제임스케미칼,10000,0,13.8,138000,10000,D,2003-01-09,1,1,2020-09-15
A00000076,2003-01-09,일반용 5L,1,(주)제임스케미칼,10000,0,13.8,138000,10000,D,2003-01-09,1,1,2020-09-15
A00000077,2003-01-09,일반용 10L,1,(주)제임스케미칼,50000,0,19.6,980000,50000,D,2003-01-09,1,1,2020-09-15
A00000077,2003-01-09,일반용 10L,1,(주)제임스케미칼,50000,0,19.6,980000,50000,D,2003-01-09,1,1,2020-09-15
A00000078,2003-04-16,일반용 10L,1,(주)제임스케미칼,20000,0,19.6,392000,20000,D,2003-04-16,0,1,2020-09-15
A00000078,2003-04-16,일반용 10L,1,(주)제임스케미칼,20000,0,19.6,392000,20000,D,2003-04-16,0,1,2020-09-15
A00000079,2003-04-16,일반용 20L,1,(주)제임스케미칼,50000,0,31.6,1580000,50000,D,2003-04-16,0,1,2020-09-15
A00000079,2003-04-16,일반용 20L,1,(주)제임스케미칼,50000,0,31.6,1580000,50000,D,2003-04-16,0,1,2020-09-15
A00000082,2003-04-28,일반용 10L,1,(주)제임스케미칼,20000,0,19.6,392000,0,M,2003-06-09,1,1,2020-09-15
A00000082,2003-04-28,일반용 10L,1,(주)제임스케미칼,20000,0,19.6,392000,0,M,2003-06-09,1,1,2020-09-15
A00000083,2003-04-28,일반용 20L,1,(주)제임스케미칼,50000,0,31.6,1580000,0,M,2003-06-09,1,1,2020-09-15
A00000083,2003-04-28,일반용 20L,1,(주)제임스케미칼,50000,0,31.6,1580000,0,M,2003-06-09,1,1,2020-09-15
A00000084,2003-07-23,일반용 50L,1,(주)제임스케미칼,51000,0,68.7,3503700,0,M,2004-11-16,1,1,2020-09-15
A00000084,2003-07-23,일반용 50L,1,(주)제임스케미칼,51000,0,68.7,3503700,0,M,2004-11-16,1,1,2020-09-15
A00000085,2003-07-23,일반용 100L,1,(주)제임스케미칼,20000,0,125.7,2514000,200,M,2004-04-13,1,1,2020-09-15
A00000085,2003-07-23,일반용 100L,1,(주)제임스케미칼,20000,0,125.7,2514000,200,M,2004-04-13,1,1,2020-09-15
A00000086,2003-07-23,가성사업계용 100L,1,(주)제임스케미칼,20000,0,117.3,2346000,20000,D,2003-08-07,1,1,2020-09-15
A00000086,2003-07-23,가정사업계용 100L,1,(주)제임스케미칼,20000,0,117.3,2346000,20000,D,2003-08-07,1,1,2020-09-15
A00000087,2003-08-21,사업장용 100L,1,(주)제임스케미칼,20000,0,117.3,2346000,0,M,2003-10-28,1,1,2020-09-15
A00000087,2003-08-21,사업장생활계용(특수용) 100L,1,(주)제임스케미칼,20000,0,117.3,2346000,0,M,2003-10-28,1,1,2020-09-15
A00000088,2003-08-25,일반용 10L,1,(주)제임스케미칼,200000,0,19.6,3920000,0,M,2004-05-31,1,1,2020-09-15
