¿œ∫∞,TOTAL
2010-01-01,71989290.23
2010-01-02,76572285.61
2010-01-03,79712036.68
2010-01-04,103948675.5
2010-01-05,123681461.1
2010-01-06,121720925
2010-01-07,128844950.2
2010-01-08,133531226.6
2010-01-09,99280052.73
2010-01-10,85094638.88
2010-01-11,116935613.9
2010-01-12,125858575.1
2010-01-13,124775089
2010-01-14,136974425.9
2010-01-15,123324264.4
2010-01-16,97739838.69
2010-01-17,87534408.54
2010-01-18,109448276.5
2010-01-19,110694615.8
2010-01-20,104725960.1
2010-01-21,109219930.9
2010-01-22,109815098.5
2010-01-23,93704058.61
2010-01-24,83452357.35
2010-01-25,103395795.5
2010-01-26,113767949.9
2010-01-27,107840975.9
2010-01-28,105355840.4
2010-01-29,104444639.9
2010-01-30,89143855.94
2010-01-31,79284879.34
2010-02-01,100873995.7
2010-02-02,111891068.5
2010-02-03,116034491.1
2010-02-04,114177192.7
2010-02-05,110987013.6
2010-02-06,91213307.56
2010-02-07,78309279.42
2010-02-08,101500486.9
2010-02-09,101032664.8
2010-02-10,101987678.7
2010-02-11,102986588.7
2010-02-12,90071725.07
2010-02-13,57642568.39
2010-02-14,52417934.09
2010-02-15,51660015.93
2010-02-16,78497438.2
2010-02-17,106967754.2
2010-02-18,123607580.5
2010-02-19,121136193
2010-02-20,91755175.52
2010-02-21,78407094.11
2010-02-22,101758444.2
2010-02-23,105642308.2
2010-02-24,98290085.24
2010-02-25,95170742.62
2010-02-26,87497366.26
2010-02-27,78187898.47
2010-02-28,68859441.35
2010-03-01,70035262.17
2010-03-02,90012156.28
2010-03-03,92712502.78
2010-03-04,94080997.01
2010-03-05,94386286.9
2010-03-06,83585940.11
2010-03-07,68921008.62
2010-03-08,98936054.4
2010-03-09,98037906.68
2010-03-10,107341351.5
2010-03-11,112971368.9
2010-03-12,100219863.7
2010-03-13,78549601.89
2010-03-14,72335296.5
2010-03-15,95434082.27
2010-03-16,100982138.8
2010-03-17,106241873.2
2010-03-18,108184300.8
2010-03-19,105212518.4
2010-03-20,81408341.07
2010-03-21,70411217.84
2010-03-22,95899663.92
2010-03-23,103990481.7
2010-03-24,98496556.18
2010-03-25,98764336.29
2010-03-26,100921614.4
2010-03-27,81283329.65
2010-03-28,70197865.63
2010-03-29,102184341.8
2010-03-30,99014331.09
2010-03-31,103481006.3
2010-04-01,99532642.36
2010-04-02,99419996.77
2010-04-03,83661778.9
2010-04-04,69157037.21
2010-04-05,99065569.35
2010-04-06,89024402.13
2010-04-07,95164387.55
2010-04-08,95882039.32
2010-04-09,90376957.26
2010-04-10,78153131.98
2010-04-11,67510708.68
2010-04-12,91377474.86
2010-04-13,89076267.29
2010-04-14,93223637.94
2010-04-15,93552705.72
2010-04-16,93744660.45
2010-04-17,78825218.76
2010-04-18,63525582.31
2010-04-19,80976854.78
2010-04-20,79667195.34
2010-04-21,79436043.64
2010-04-22,82051725.44
2010-04-23,80092242.16
2010-04-24,70133542.29
2010-04-25,60342374.53
2010-04-26,79633285.15
2010-04-27,81933573.44
2010-04-28,89131192.8
2010-04-29,85583537.96
2010-04-30,81724868.59
2010-05-01,67226770.3
2010-05-02,62953953.43
2010-05-03,80880931.16
2010-05-04,82094162.13
2010-05-05,72690629.72
2010-05-06,83086639.55
2010-05-07,84056690.44
2010-05-08,68976189.92
2010-05-09,62805538.73
2010-05-10,79479160.35
2010-05-11,84217361.48
2010-05-12,84492238.26
2010-05-13,83714944.96
2010-05-14,83961557.51
2010-05-15,70666251.63
2010-05-16,62733404.82
2010-05-17,78736944.42
2010-05-18,83653356.77
2010-05-19,83900816.27
2010-05-20,82755551.98
2010-05-21,74181626.6
